area_type,location,total_sqft,bath,BHK,balcony,PRICE rs
Super built-up  Area,Electronic City Phase II,1056,2,2,1,"₹ 3,907,000.00"
Plot  Area,Chikka Tirupathi,2600,5,4,3,"₹ 12,000,000.00"
Built-up  Area,Uttarahalli,1440,2,3,3,"₹ 6,200,000.00"
Super built-up  Area,Lingadheeranahalli,1521,3,3,1,"₹ 9,500,000.00"
Super built-up  Area,Kothanur,1200,2,2,1,"₹ 5,100,000.00"
Super built-up  Area,Whitefield,1170,2,2,1,"₹ 3,800,000.00"
Super built-up  Area,Old Airport Road,2732,4,4,0,"₹ 20,400,000.00"
Super built-up  Area,Rajaji Nagar,3300,4,4,0,"₹ 60,000,000.00"
Super built-up  Area,Marathahalli,1310,3,3,1,"₹ 6,325,000.00"
Plot  Area,Gandhi Bazar,1020,6,6,0,"₹ 37,000,000.00"
Super built-up  Area,Whitefield,1800,2,3,2,"₹ 7,000,000.00"
Plot  Area,Whitefield,2785,5,4,3,"₹ 29,500,000.00"
Super built-up  Area,7th Phase JP Nagar,1000,2,2,1,"₹ 3,800,000.00"
Built-up  Area,Gottigere,1100,2,2,2,"₹ 4,000,000.00"
Plot  Area,Sarjapur,2250,3,3,2,"₹ 14,800,000.00"
Super built-up  Area,Mysore Road,1175,2,2,2,"₹ 7,350,000.00"
Super built-up  Area,Bisuvanahalli,1180,3,3,2,"₹ 4,800,000.00"
Super built-up  Area,Raja Rajeshwari Nagar,1540,3,3,3,"₹ 6,000,000.00"
Super built-up  Area,Ramakrishnappa Layout,2770,4,3,2,"₹ 29,000,000.00"
Super built-up  Area,Manayata Tech Park,1100,2,2,2,"₹ 4,800,000.00"
Built-up  Area,Kengeri,600,1,1,1,"₹ 1,500,000.00"
Super built-up  Area,Binny Pete,1755,3,3,1,"₹ 12,200,000.00"
Plot  Area,Thanisandra,2800,5,4,2,"₹ 38,000,000.00"
Super built-up  Area,Bellandur,1767,3,3,1,"₹ 10,300,000.00"
Super built-up  Area, Thanisandra,510,1,1,0,"₹ 2,525,000.00"
Super built-up  Area,Mangammanapalya,1250,3,3,2,"₹ 5,600,000.00"
Super built-up  Area,Electronic City,660,1,2,1,"₹ 2,310,000.00"
